restaurant_id,user_id,new_restaurant_id,new_user_id
222,124,97,21
211,124,67,21
403,124,136,21
188,124,137,21
321,124,138,21
41,124,3,21
189,124,44,21
386,124,124,21
205,124,139,21
397,124,140,21
389,124,141,21
313,124,60,21
66,124,142,21
392,125,25,22
379,125,108,22
1,125,80,22
416,125,143,22
104,127,144,23
101,127,86,23
472,127,115,23
71,127,94,23
11,127,118,23
246,127,54,23
116,127,145,23
51,127,84,23
481,127,18,23
1,127,80,23
48,127,30,23
85,127,126,23
177,127,41,23
1,129,80,24
263,129,56,24
49,129,111,24
163,135,128,25
30,135,146,25
357,135,68,25
394,135,147,25
235,135,130,25
469,135,16,25
41,135,3,25
72,135,148,25
45,135,121,25
145,135,88,25
371,135,116,25
61,135,149,25
189,135,44,25
59,135,150,25
417,135,151,25
66,135,142,25
380,135,152,25
374,135,153,25
442,135,154,25
467,135,155,25
370,135,156,25
404,135,98,25
263,135,56,25
168,135,157,25
116,135,145,25
336,135,127,25
363,135,158,25
441,135,77,25
38,135,59,25
274,135,159,25
397,135,140,25
254,135,160,25
178,135,12,25
1,135,80,25
262,135,161,25
25,135,1,25
225,135,162,25
478,135,65,25
268,135,163,25
18,135,8,25
132,135,164,25
177,135,41,25
196,135,165,25
348,135,107,25
318,135,73,25
276,135,166,25
472,135,115,25
280,135,167,25
104,135,144,25
222,135,97,25
15,135,21,25
402,135,104,25
4,135,168,25
44,136,169,26
102,136,27,26
238,136,170,26
1,136,80,26
137,136,36,26
148,136,39,26
149,136,171,26
1,139,80,27
38,139,59,27
318,139,73,27
330,139,103,27
1,142,80,28
185,142,172,28
55,142,96,28
263,142,56,28
444,144,70,29
1,144,80,29
177,144,41,29
404,146,98,30
302,146,69,30
41,146,3,30
263,146,56,30
45,146,121,30
394,146,147,30
19,146,173,30
121,146,23,30
400,146,174,30
466,146,175,30
139,146,37,30
71,146,94,30
198,146,47,30
321,146,138,30
178,146,12,30
300,146,91,30
118,146,61,30
1,146,80,30
222,146,97,30
361,146,176,30
357,147,68,31
33,147,2,31
140,147,177,31
1,147,80,31
162,147,95,31
409,147,178,31
91,149,179,32
49,149,111,32
52,149,129,32
262,149,161,32
11,149,118,32
122,149,180,32
5,149,24,32
25,149,1,32
71,149,94,32
184,149,181,32
266,149,182,32
190,149,93,32
38,149,59,32
